split,class_id,class_name,box_count
train,0,helmet,1341
train,1,gloves,1146
train,2,vest,1269
train,3,boots,1235
train,4,goggles,419
train,5,none,651
train,6,Person,1770
train,7,no_helmet,400
train,8,no_goggle,337
train,9,no_gloves,442
train,10,no_boots,88
val,0,helmet,201
val,1,gloves,136
val,2,vest,171
val,3,boots,151
val,4,goggles,47
val,5,none,81
val,6,Person,239
val,7,no_helmet,45
val,8,no_goggle,41
val,9,no_gloves,56
val,10,no_boots,4
test,0,helmet,192
test,1,gloves,163
test,2,vest,178
test,3,boots,211
test,4,goggles,52
test,5,none,65
test,6,Person,236
test,7,no_helmet,40
test,8,no_goggle,33
test,9,no_gloves,58
test,10,no_boots,23
all,0,helmet,1734
all,1,gloves,1445
all,2,vest,1618
all,3,boots,1597
all,4,goggles,518
all,5,none,797
all,6,Person,2245
all,7,no_helmet,485
all,8,no_goggle,411
all,9,no_gloves,556
all,10,no_boots,115
