hamming_distance,split_a,image_key_a,image_path_a,split_b,image_key_b,image_path_b
2,train,image1002,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1002.jpg,test,image1003,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image1003.jpg
0,train,image1011,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1011.jpg,val,image1010,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/val/image1010.jpg
2,train,image102,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image102.jpg,test,image40,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image40.jpg
2,train,image1025,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1025.jpg,test,image160,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image160.jpg
1,train,image1038,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1038.jpg,test,image160,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image160.jpg
2,train,image1038,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1038.jpg,test,image63,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image63.jpg
1,train,image1050,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1050.jpg,val,image1049,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/val/image1049.jpg
2,train,image1075,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1075.jpg,test,image1074,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image1074.jpg
1,train,image1087,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1087.jpg,test,image1088,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image1088.jpg
1,train,image24,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image24.jpg,test,image63,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image63.jpg
2,train,image279,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image279.jpg,test,image40,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image40.jpg
2,train,image290,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image290.jpg,test,image63,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image63.jpg
1,train,image33,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image33.jpg,val,image31,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/val/image31.jpg
1,train,image376,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image376.jpg,test,image40,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image40.jpg
2,train,image42,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image42.jpg,test,image40,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image40.jpg
1,train,image73,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image73.jpg,test,image63,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image63.jpg
2,train,image76,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image76.jpg,test,image63,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image63.jpg
0,train,image833,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image833.jpg,test,image834,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image834.jpg
2,train,image911,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image911.jpg,test,image910,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image910.jpg
2,train,image926,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image926.jpg,test,image927,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/test/image927.jpg
