split,image_key,image_path,label_path,image_valid,image_error,width,height,mode,sha256,dhash,valid_box_count,invalid_line_count,class_ids,min_box_area_at_640
train,.ipynb_checkpoints/image13-checkpoint,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/.ipynb_checkpoints/image13-checkpoint.jpeg,,True,,640,640,RGB,9459c36ca17fadd3e93078833c3cd230a3903231c4ff8d418e52b2d45dac6f55,fcdccce4e4d4c4c4,0,0,,
train,.ipynb_checkpoints/image19-checkpoint,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/.ipynb_checkpoints/image19-checkpoint.jpeg,,True,,640,640,RGB,672b6e1d92d48649d4613672adac3c72c94e50004b413c0381be9898136a4ba3,0084803058190900,0,0,,
train,.ipynb_checkpoints/image26-checkpoint,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/.ipynb_checkpoints/image26-checkpoint.jpeg,,True,,640,640,RGB,35ea1d6375a25396d1c56f268112f356af58adb7f78f00ef4b2435e50bb09dc2,00e64bf4e5e5c800,0,0,,
train,.ipynb_checkpoints/image4-checkpoint,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/.ipynb_checkpoints/image4-checkpoint.jpg,,True,,640,640,RGB,1a9c7c8484602e63aaca92aeae34349fe454fd32cbe2619c7923b7e64708dab0,00b4e6dc9298cc00,0,0,,
train,image100,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image100.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image100.txt,True,,640,640,RGB,f90bb05e3d79d843b63fbdbb01841b8d58e934cd6575049ed9c9f5042230ec82,00acbcdedeee6e10,11,0,"0,5,6",3245.2873232384
train,image1000,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1000.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1000.txt,True,,640,640,RGB,d16cc2100b49135d7722063a23d24ff29a0e90ad6c9a4e757ca655a0d574ef66,00c649ccc4454600,3,0,"0,5,6",9372.9135624192
train,image1001,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1001.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1001.txt,True,,640,640,RGB,343e0ff03dfcac5b17cdf5a79375773737bf1812fa782751d5a507bd5b067ca6,2d0e9e9d8c1e990c,8,0,"0,1,2,3,4,6",2894.7903471616005
train,image1002,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1002.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1002.txt,True,,640,640,RGB,81b89f79a61244aa09ea58922934390cd5706e8e7a2ac0cf9a5235716b3ce06f,989a9b989f899492,8,0,"0,1,2,3,4,6",669.6602120192
train,image1004,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1004.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1004.txt,True,,640,640,RGB,292b40524edcb6ea55d02265464a31f9b40f96e915947bc25b35b66458bc1ee8,9c9a8b98de8d9492,8,0,"0,1,2,3,4,6",917.9089920000001
train,image1005,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1005.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1005.txt,True,,640,640,RGB,13370ec005b3c83571dfdcf4bc865d5db05b8f81d9139ab22c5c4f5e00837b29,d4d0a4acaceaf898,4,0,"2,6",11354.473267200001
train,image1006,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1006.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1006.txt,True,,640,640,RGB,0a23a6487f2e169b3ce0b92ffa705618d7b24fb540b6067de7538191595c968f,d0e8c830304c4d0c,5,0,"0,2,3,6",4928.5578223616
train,image1008,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1008.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1008.txt,True,,640,640,RGB,25e10ae920bea4fdd8b2322b9a99ed1b5b9a79c70251355c582341aa9291dfed,ccdcccccd6d6cccc,3,0,"0,2,6",9682.3605600256
train,image101,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image101.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image101.txt,True,,640,640,RGB,73fd2999c1316b1fb967462f75cec583dc99c311a47fe245074837dc2b4b1062,00dbca92980ac100,7,0,"1,2,3,5,6",553.8300592127999
train,image1011,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1011.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1011.txt,True,,640,640,RGB,6f5df94c6c8aaa63ec04cbe6c4c36a729a61f8d6b09a381fe5233f64535faaea,8c8cc78e4c8d8492,8,0,"0,1,2,3,4,6",1476.8407904256
train,image1012,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1012.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1012.txt,True,,640,640,RGB,63cbd0f6762f4ed5434ecad5bcc7b5355d994d8d8b45329b98d7a0e7f714cf5f,181cd74ecd8f8482,8,0,"0,1,2,3,4,6",1753.9957751808001
train,image1013,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1013.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1013.txt,True,,640,640,RGB,6ae65c8187e9e2c6a15aca878a148edecdb95042fe16eb5a45c59a551ae8b236,103c974fcd87848a,8,0,"0,1,2,3,4,6",2047.3291767808
train,image1015,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1015.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1015.txt,True,,640,640,RGB,3fc956ea7fff82a7671c85f0d1c21ac82dfcceb3d361c8662a9eb70638d82a11,c4cc1e9f8c8e0c06,8,0,"0,1,2,3,4,6",2881.5154192384
train,image1016,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1016.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1016.txt,True,,640,640,RGB,9b3324bacf8ae55c7ceaec5f6c81dbba350d8fb284d92f6101442f288671d3e2,f0f0d4c4c4f0f0e0,10,0,"0,2,3,5,6",700.4236447744
