source_split,source_image,source_label,canonical_image,canonical_label,raw_box_count,mapped_box_count,dropped_box_count,image_sha256,transfer_action
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image100.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image100.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image100.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image100.txt,11,8,3,f90bb05e3d79d843b63fbdbb01841b8d58e934cd6575049ed9c9f5042230ec82,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1000.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1000.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1000.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1000.txt,3,2,1,d16cc2100b49135d7722063a23d24ff29a0e90ad6c9a4e757ca655a0d574ef66,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1001.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1001.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1001.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1001.txt,8,3,5,343e0ff03dfcac5b17cdf5a79375773737bf1812fa782751d5a507bd5b067ca6,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1002.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1002.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1002.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1002.txt,8,3,5,81b89f79a61244aa09ea58922934390cd5706e8e7a2ac0cf9a5235716b3ce06f,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1004.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1004.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1004.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1004.txt,8,3,5,292b40524edcb6ea55d02265464a31f9b40f96e915947bc25b35b66458bc1ee8,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1005.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1005.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1005.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1005.txt,4,4,0,13370ec005b3c83571dfdcf4bc865d5db05b8f81d9139ab22c5c4f5e00837b29,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1006.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1006.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1006.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1006.txt,5,3,2,0a23a6487f2e169b3ce0b92ffa705618d7b24fb540b6067de7538191595c968f,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1008.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1008.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1008.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1008.txt,3,3,0,25e10ae920bea4fdd8b2322b9a99ed1b5b9a79c70251355c582341aa9291dfed,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image101.jpeg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image101.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image101.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image101.txt,7,3,4,73fd2999c1316b1fb967462f75cec583dc99c311a47fe245074837dc2b4b1062,hardlink
train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1011.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/labels/train/image1011.txt,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/images/all/train__image1011.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_canonical_v1_20260804_172437/labels/all/train__image1011.txt,8,3,5,6f5df94c6c8aaa63ec04cbe6c4c36a729a61f8d6b09a381fe5233f64535faaea,hardlink
