hamming_distance,split_a,image_a,split_b,image_b
1,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1025.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image123.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1038.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image123.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image33.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg
1,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image61.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image59.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image68.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image365.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image71.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg
1,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image279.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image376.jpg
1,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image54.jpg
1,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image56.jpg
1,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image279.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image193.jpg
1,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image365.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image80.jpg
2,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image376.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image193.jpg
1,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image54.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image193.jpg
1,test,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image56.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image193.jpg
2,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image301.jpg
2,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image397.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image193.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image82.jpg
2,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image839.jpg,val,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image842.jpg
