pair_index,hamming_distance,numeric_id_a,numeric_id_b,numeric_distance,exact_duplicate,assigned_split_a,assigned_split_b,reviewed_group_a,reviewed_group_b,group_size_a,group_size_b,source_split_a,source_split_b,source_image_a,source_image_b,rendered_pair
1,1,1025,123,902,False,train,val,reviewed_group_0001,reviewed_group_0012,100,20,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1025.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image123.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_01.jpg
2,2,1038,123,915,False,train,val,reviewed_group_0001,reviewed_group_0012,100,20,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image1038.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image123.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_02.jpg
3,2,33,120,87,False,train,val,reviewed_group_0001,reviewed_group_0012,100,20,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image33.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_03.jpg
4,1,61,59,2,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image61.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image59.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_04.jpg
5,2,68,365,297,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image68.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image365.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_05.jpg
6,2,71,120,49,False,train,val,reviewed_group_0001,reviewed_group_0012,100,20,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image71.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image120.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_06.jpg
7,1,78,279,201,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image279.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_07.jpg
8,2,78,376,298,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image376.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_08.jpg
9,1,78,54,24,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image54.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_09.jpg
10,1,78,56,22,False,train,test,reviewed_group_0001,reviewed_group_0002,100,80,train,train,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image78.jpg,/root/autodl-tmp/datasets/sources/construction-ppe_ultralytics_2025_v1/images/train/image56.jpg,/root/autodl-tmp/jetson-ppe-deploy-opt/results/dataset_audit/exp02_4d_dhash_review_20260804_174100/pair_10.jpg
