rank,image,gt,predictions,tp,fp,fn,tiny_fn,small_fn,error_score,visual
1,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1181.jpg,15,10,5,5,10,0,5,65,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/001_score65_fn10_fp5_train__image1181.jpg
2,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image784.jpg,23,30,21,9,2,2,0,34,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/002_score34_fn2_fp9_train__image784.jpg
3,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image774.jpeg,15,9,9,0,6,0,3,33,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/003_score33_fn6_fp0_train__image774.jpg
4,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image469.jpg,11,20,9,11,2,0,1,33,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/004_score33_fn2_fp11_train__image469.jpg
5,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image450.jpg,8,20,7,13,1,0,0,31,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/005_score31_fn1_fp13_test__image450.jpg
6,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image463.jpg,18,15,13,2,5,0,0,29,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/006_score29_fn5_fp2_train__image463.jpg
7,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image14.jpeg,8,8,4,4,4,0,0,28,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/007_score28_fn4_fp4_train__image14.jpg
8,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image468.jpg,10,10,6,4,4,0,0,28,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/008_score28_fn4_fp4_train__image468.jpg
9,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image779.jpg,5,0,0,0,5,0,2,27,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/009_score27_fn5_fp0_test__image779.jpg
10,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image796.jpg,19,25,17,8,2,0,1,27,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/010_score27_fn2_fp8_test__image796.jpg
11,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image919.jpeg,6,8,4,4,2,2,0,24,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/011_score24_fn2_fp4_train__image919.jpg
12,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image783.jpeg,5,17,5,12,0,0,0,24,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/012_score24_fn0_fp12_train__image783.jpg
13,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/val__image771.jpg,5,2,1,1,4,0,0,22,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/013_score22_fn4_fp1_val__image771.jpg
14,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image13.jpeg,3,2,0,2,3,0,2,21,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/014_score21_fn3_fp2_train__image13.jpg
15,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image465.jpg,17,20,15,5,2,0,0,20,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/015_score20_fn2_fp5_train__image465.jpg
16,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image776.jpg,5,3,2,1,3,0,1,18,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp02_8_baseline_error_size_audit_fixed_20260804_192312/worst_visuals/016_score18_fn3_fp1_train__image776.jpg
