rank,image,gt,predictions,tp,fp,fn,tiny_fn,small_fn,error_score,visual
1,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image14.jpeg,8,13,2,11,6,0,3,55,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/001_score55_fn6_fp11_train__image14.jpg
2,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1181.jpg,15,10,7,3,8,0,5,51,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/002_score51_fn8_fp3_train__image1181.jpg
3,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image468.jpg,10,10,4,6,6,0,0,42,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/003_score42_fn6_fp6_train__image468.jpg
4,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image463.jpg,18,13,11,2,7,0,1,40,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/004_score40_fn7_fp2_train__image463.jpg
5,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image784.jpg,23,29,20,9,3,2,0,39,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/005_score39_fn3_fp9_train__image784.jpg
6,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image774.jpeg,15,9,9,0,6,0,3,33,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/006_score33_fn6_fp0_train__image774.jpg
7,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1368.jpg,6,11,3,8,3,0,1,32,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/007_score32_fn3_fp8_train__image1368.jpg
8,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image450.jpg,8,16,6,10,2,0,0,30,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/008_score30_fn2_fp10_test__image450.jpg
9,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image908.jpg,9,8,6,2,3,3,0,28,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/009_score28_fn3_fp2_train__image908.jpg
10,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image799.jpg,9,5,4,1,5,0,0,27,/root/autodl-tmp/jetson-ppe-deploy-opt/results/evaluation/exp03_4_yolo11n_p2_error_size_audit_batch4_20260804_201348/worst_visuals/010_score27_fn5_fp1_train__image799.jpg
