image_index,image,label,gt,predictions,tp,fp,fn,error_score
1,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image1.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image1.txt,4,4,3,1,1,2
2,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image10.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image10.txt,6,6,6,0,0,0
3,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image1065.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image1065.txt,3,3,3,0,0,0
4,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image1074.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image1074.txt,3,3,3,0,0,0
5,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image1076.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image1076.txt,3,3,3,0,0,0
6,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image441.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image441.txt,3,3,3,0,0,0
7,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image444.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image444.txt,3,3,3,0,0,0
8,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image450.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image450.txt,8,20,7,13,1,14
9,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image459.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image459.txt,3,3,3,0,0,0
10,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image460.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image460.txt,3,3,3,0,0,0
11,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image462.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image462.txt,14,16,13,3,1,4
12,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image470.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image470.txt,2,4,2,2,0,2
13,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image6.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/test__image6.txt,6,9,6,3,0,3
