model,size,gt,tp,fn,recall
baseline,tiny,29,24,5,0.8275862068965517
baseline,small,114,89,25,0.7807017543859649
baseline,medium,222,194,28,0.8738738738738738
baseline,large,475,424,51,0.8926315789473684
baseline,tiny_small,143,113,30,0.7902097902097902
baseline,medium_large,697,618,79,0.8866571018651362
rep_deploy,tiny,29,16,13,0.5517241379310345
rep_deploy,small,114,90,24,0.7894736842105263
rep_deploy,medium,222,193,29,0.8693693693693694
rep_deploy,large,475,422,53,0.888421052631579
rep_deploy,tiny_small,143,106,37,0.7412587412587412
rep_deploy,medium_large,697,615,82,0.8823529411764706
