label,model,split,threshold,gt,predictions,tp,fp,fn,precision,recall,f1,tiny_tp,tiny_fn,tiny_recall,small_tp,small_fn,small_recall,tiny_small_tp,tiny_small_fn,tiny_small_recall,medium_large_recall
baseline_val_fixed_025,baseline,val,0.25,834,863,699,164,135,0.8099652375434531,0.8381294964028777,0.8238067177371833,12,19,0.3870967741935484,80,19,0.8080808080808081,92,38,0.7076923076923077,0.8622159090909091
rep_val_fixed_025,rep_deploy,val,0.25,834,865,697,168,137,0.8057803468208092,0.8357314148681055,0.8204826368452031,16,15,0.5161290322580645,81,18,0.8181818181818182,97,33,0.7461538461538462,0.8522727272727273
baseline_test_fixed_025,baseline,test,0.25,840,900,731,169,109,0.8122222222222222,0.8702380952380953,0.8402298850574712,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8866571018651362
rep_test_fixed_025,rep_deploy,test,0.25,840,863,721,142,119,0.8354577056778679,0.8583333333333333,0.8467410452143277,16,13,0.5517241379310345,90,24,0.7894736842105263,106,37,0.7412587412587412,0.8823529411764706
baseline_val_best_f1,baseline,val,0.45,834,762,669,93,165,0.8779527559055118,0.802158273381295,0.8383458646616541,8,23,0.25806451612903225,75,24,0.7575757575757576,83,47,0.6384615384615384,0.8323863636363636
rep_val_best_f1,rep_deploy,val,0.43,834,758,667,91,167,0.8799472295514512,0.7997601918465228,0.8379396984924624,16,15,0.5161290322580645,73,26,0.7373737373737373,89,41,0.6846153846153846,0.8210227272727273
baseline_test_at_val_best_f1,baseline,test,0.45,840,795,701,94,139,0.8817610062893082,0.8345238095238096,0.8574923547400611,20,9,0.6896551724137931,85,29,0.7456140350877193,105,38,0.7342657342657343,0.8550932568149211
rep_test_at_val_best_f1,rep_deploy,test,0.43,840,775,695,80,145,0.896774193548387,0.8273809523809523,0.8606811145510835,16,13,0.5517241379310345,84,30,0.7368421052631579,100,43,0.6993006993006993,0.8536585365853658
rep_val_precision_matched,rep_deploy,val,0.26,834,857,695,162,139,0.8109684947491248,0.8333333333333334,0.8219988172678888,16,15,0.5161290322580645,80,19,0.8080808080808081,96,34,0.7384615384615385,0.8508522727272727
rep_test_precision_matched,rep_deploy,test,0.26,840,858,720,138,120,0.8391608391608392,0.8571428571428571,0.8480565371024734,16,13,0.5517241379310345,90,24,0.7894736842105263,106,37,0.7412587412587412,0.8809182209469153
