model,split,threshold,gt,predictions,tp,fp,fn,precision,recall,f1,tiny_tp,tiny_fn,tiny_recall,small_tp,small_fn,small_recall,tiny_small_tp,tiny_small_fn,tiny_small_recall,medium_large_recall
baseline,val,0.001,834,8393,776,7617,58,0.09245800071488144,0.9304556354916067,0.16820201582312777,18,13,0.5806451612903226,91,8,0.9191919191919192,109,21,0.8384615384615385,0.9474431818181818
baseline,val,0.01,834,2266,753,1513,81,0.3323036187113857,0.9028776978417267,0.48580645161290315,16,15,0.5161290322580645,87,12,0.8787878787878788,103,27,0.7923076923076923,0.9232954545454546
baseline,val,0.02,834,1695,745,950,89,0.43952802359882004,0.8932853717026379,0.5891656781336496,16,15,0.5161290322580645,86,13,0.8686868686868687,102,28,0.7846153846153846,0.9133522727272727
baseline,val,0.03,834,1472,743,729,91,0.5047554347826086,0.8908872901678657,0.6444058976582827,16,15,0.5161290322580645,86,13,0.8686868686868687,102,28,0.7846153846153846,0.9105113636363636
baseline,val,0.04,834,1343,739,604,95,0.5502606105733433,0.8860911270983214,0.6789159393661001,16,15,0.5161290322580645,85,14,0.8585858585858586,101,29,0.7769230769230769,0.90625
baseline,val,0.05,834,1253,734,519,100,0.5857940941739824,0.8800959232613909,0.7034020124580738,15,16,0.4838709677419355,84,15,0.8484848484848485,99,31,0.7615384615384615,0.9019886363636364
baseline,val,0.06,834,1192,732,460,102,0.6140939597315436,0.8776978417266187,0.7226061204343535,15,16,0.4838709677419355,83,16,0.8383838383838383,98,32,0.7538461538461538,0.9005681818181818
baseline,val,0.07,834,1136,730,406,104,0.6426056338028169,0.8752997601918465,0.7411167512690354,15,16,0.4838709677419355,82,17,0.8282828282828283,97,33,0.7461538461538462,0.8991477272727273
baseline,val,0.08,834,1092,726,366,108,0.6648351648351648,0.8705035971223022,0.7538940809968847,15,16,0.4838709677419355,81,18,0.8181818181818182,96,34,0.7384615384615385,0.8948863636363636
baseline,val,0.09,834,1067,722,345,112,0.676663542642924,0.8657074340527577,0.7596002104155707,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.890625
baseline,val,0.1,834,1042,720,322,114,0.690978886756238,0.8633093525179856,0.7675906183368869,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8877840909090909
baseline,val,0.11,834,1018,720,298,114,0.7072691552062869,0.8633093525179856,0.7775377969762419,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8877840909090909
baseline,val,0.12,834,1000,720,280,114,0.72,0.8633093525179856,0.7851690294438386,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8877840909090909
baseline,val,0.13,834,987,718,269,116,0.7274569402228976,0.8609112709832134,0.7885777045579352,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8849431818181818
baseline,val,0.14,834,972,717,255,117,0.7376543209876543,0.8597122302158273,0.7940199335548171,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8835227272727273
baseline,val,0.15,834,955,717,238,117,0.7507853403141361,0.8597122302158273,0.8015651201788708,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8835227272727273
baseline,val,0.16,834,940,716,224,118,0.7617021276595745,0.8585131894484412,0.8072153325817361,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8821022727272727
baseline,val,0.17,834,927,716,211,118,0.7723840345199569,0.8585131894484412,0.8131743327654741,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8821022727272727
baseline,val,0.18,834,915,715,200,119,0.7814207650273224,0.8573141486810552,0.8176100628930818,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8806818181818182
baseline,val,0.19,834,909,714,195,120,0.7854785478547854,0.8561151079136691,0.8192771084337349,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8792613636363636
baseline,val,0.2,834,899,712,187,122,0.7919911012235817,0.8537170263788969,0.8216964800923253,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8764204545454546
baseline,val,0.21,834,887,708,179,126,0.798196166854566,0.8489208633093526,0.8227774549680418,14,17,0.45161290322580644,81,18,0.8181818181818182,95,35,0.7307692307692307,0.8707386363636364
baseline,val,0.22,834,881,706,175,128,0.8013620885357549,0.8465227817745803,0.8233236151603498,14,17,0.45161290322580644,80,19,0.8080808080808081,94,36,0.7230769230769231,0.8693181818181818
baseline,val,0.23,834,878,705,173,129,0.8029612756264237,0.8453237410071942,0.8235981308411214,13,18,0.41935483870967744,80,19,0.8080808080808081,93,37,0.7153846153846154,0.8693181818181818
baseline,val,0.24,834,870,703,167,131,0.8080459770114943,0.842925659472422,0.8251173708920188,13,18,0.41935483870967744,80,19,0.8080808080808081,93,37,0.7153846153846154,0.8664772727272727
baseline,val,0.25,834,863,699,164,135,0.8099652375434531,0.8381294964028777,0.8238067177371833,12,19,0.3870967741935484,80,19,0.8080808080808081,92,38,0.7076923076923077,0.8622159090909091
baseline,val,0.26,834,861,698,163,136,0.81068524970964,0.8369304556354916,0.8235988200589971,12,19,0.3870967741935484,80,19,0.8080808080808081,92,38,0.7076923076923077,0.8607954545454546
baseline,val,0.27,834,860,698,162,136,0.8116279069767441,0.8369304556354916,0.8240850059031877,12,19,0.3870967741935484,80,19,0.8080808080808081,92,38,0.7076923076923077,0.8607954545454546
baseline,val,0.28,834,849,692,157,142,0.8150765606595995,0.829736211031175,0.8223410576351753,12,19,0.3870967741935484,79,20,0.797979797979798,91,39,0.7,0.8536931818181818
baseline,val,0.29,834,839,688,151,146,0.8200238379022646,0.8249400479616307,0.8224745965331739,12,19,0.3870967741935484,78,21,0.7878787878787878,90,40,0.6923076923076923,0.8494318181818182
baseline,val,0.3,834,836,688,148,146,0.8229665071770335,0.8249400479616307,0.8239520958083831,12,19,0.3870967741935484,78,21,0.7878787878787878,90,40,0.6923076923076923,0.8494318181818182
baseline,val,0.31,834,828,687,141,147,0.8297101449275363,0.8237410071942446,0.8267148014440433,12,19,0.3870967741935484,78,21,0.7878787878787878,90,40,0.6923076923076923,0.8480113636363636
baseline,val,0.32,834,823,686,137,148,0.8335358444714459,0.8225419664268585,0.828002414001207,12,19,0.3870967741935484,78,21,0.7878787878787878,90,40,0.6923076923076923,0.8465909090909091
baseline,val,0.33,834,820,685,135,149,0.8353658536585366,0.8213429256594724,0.8282950423216445,12,19,0.3870967741935484,78,21,0.7878787878787878,90,40,0.6923076923076923,0.8451704545454546
baseline,val,0.34,834,814,684,130,150,0.8402948402948403,0.8201438848920863,0.8300970873786409,12,19,0.3870967741935484,77,22,0.7777777777777778,89,41,0.6846153846153846,0.8451704545454546
baseline,val,0.35,834,808,683,125,151,0.8452970297029703,0.8189448441247003,0.8319123020706455,12,19,0.3870967741935484,76,23,0.7676767676767676,88,42,0.676923076923077,0.8451704545454546
baseline,val,0.36,834,803,682,121,152,0.8493150684931506,0.8177458033573142,0.8332315210751374,12,19,0.3870967741935484,76,23,0.7676767676767676,88,42,0.676923076923077,0.84375
baseline,val,0.37,834,798,680,118,154,0.8521303258145363,0.815347721822542,0.8333333333333333,12,19,0.3870967741935484,76,23,0.7676767676767676,88,42,0.676923076923077,0.8409090909090909
baseline,val,0.38,834,788,675,113,159,0.8565989847715736,0.8093525179856115,0.8323057953144266,11,20,0.3548387096774194,75,24,0.7575757575757576,86,44,0.6615384615384615,0.8366477272727273
baseline,val,0.39,834,781,675,106,159,0.8642765685019206,0.8093525179856115,0.8359133126934984,11,20,0.3548387096774194,75,24,0.7575757575757576,86,44,0.6615384615384615,0.8366477272727273
baseline,val,0.4,834,780,674,106,160,0.8641025641025641,0.8081534772182254,0.835192069392813,11,20,0.3548387096774194,75,24,0.7575757575757576,86,44,0.6615384615384615,0.8352272727272727
baseline,val,0.41,834,777,673,104,161,0.8661518661518661,0.8069544364508393,0.8355058969584109,10,21,0.3225806451612903,75,24,0.7575757575757576,85,45,0.6538461538461539,0.8352272727272727
baseline,val,0.42,834,775,673,102,161,0.8683870967741936,0.8069544364508393,0.836544437538844,10,21,0.3225806451612903,75,24,0.7575757575757576,85,45,0.6538461538461539,0.8352272727272727
baseline,val,0.43,834,769,670,99,164,0.871261378413524,0.8033573141486811,0.8359326263256395,9,22,0.2903225806451613,75,24,0.7575757575757576,84,46,0.6461538461538462,0.8323863636363636
baseline,val,0.44,834,765,670,95,164,0.8758169934640523,0.8033573141486811,0.8380237648530332,9,22,0.2903225806451613,75,24,0.7575757575757576,84,46,0.6461538461538462,0.8323863636363636
baseline,val,0.45,834,762,669,93,165,0.8779527559055118,0.802158273381295,0.8383458646616541,8,23,0.25806451612903225,75,24,0.7575757575757576,83,47,0.6384615384615384,0.8323863636363636
baseline,val,0.46,834,758,666,92,168,0.8786279683377308,0.7985611510791367,0.8366834170854272,8,23,0.25806451612903225,75,24,0.7575757575757576,83,47,0.6384615384615384,0.828125
baseline,val,0.47,834,755,664,91,170,0.8794701986754967,0.7961630695443646,0.8357457520453114,8,23,0.25806451612903225,75,24,0.7575757575757576,83,47,0.6384615384615384,0.8252840909090909
baseline,val,0.48,834,750,661,89,173,0.8813333333333333,0.7925659472422062,0.8345959595959596,8,23,0.25806451612903225,74,25,0.7474747474747475,82,48,0.6307692307692307,0.8224431818181818
baseline,val,0.49,834,745,659,86,175,0.8845637583892617,0.790167865707434,0.8347055098163395,8,23,0.25806451612903225,73,26,0.7373737373737373,81,49,0.6230769230769231,0.8210227272727273
baseline,val,0.5,834,738,655,83,179,0.8875338753387534,0.7853717026378897,0.8333333333333333,7,24,0.22580645161290322,73,26,0.7373737373737373,80,50,0.6153846153846154,0.8167613636363636
baseline,test,0.001,840,8627,799,7828,41,0.09261620493798539,0.9511904761904761,0.16879687334952995,25,4,0.8620689655172413,107,7,0.9385964912280702,132,11,0.9230769230769231,0.9569583931133429
baseline,test,0.01,840,2274,774,1500,66,0.3403693931398417,0.9214285714285714,0.49710982658959535,25,4,0.8620689655172413,99,15,0.868421052631579,124,19,0.8671328671328671,0.9325681492109039
baseline,test,0.02,840,1671,764,907,76,0.4572112507480551,0.9095238095238095,0.6085225009956192,25,4,0.8620689655172413,96,18,0.8421052631578947,121,22,0.8461538461538461,0.9225251076040172
baseline,test,0.03,840,1457,762,695,78,0.5229924502402197,0.9071428571428571,0.6634740966478015,25,4,0.8620689655172413,96,18,0.8421052631578947,121,22,0.8461538461538461,0.9196556671449068
baseline,test,0.04,840,1333,760,573,80,0.5701425356339085,0.9047619047619048,0.6994937873907041,25,4,0.8620689655172413,94,20,0.8245614035087719,119,24,0.8321678321678322,0.9196556671449068
baseline,test,0.05,840,1259,758,501,82,0.6020651310563939,0.9023809523809524,0.7222486898523106,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9182209469153515
baseline,test,0.06,840,1204,755,449,85,0.6270764119601329,0.8988095238095238,0.738747553816047,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9139167862266858
baseline,test,0.07,840,1174,754,420,86,0.6422487223168655,0.8976190476190476,0.7487586891757696,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9124820659971306
baseline,test,0.08,840,1129,753,376,87,0.66696191319752,0.8964285714285715,0.7648552564753682,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9110473457675753
baseline,test,0.09,840,1103,752,351,88,0.6817769718948323,0.8952380952380953,0.7740607308286157,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9096126255380201
baseline,test,0.1,840,1082,750,332,90,0.6931608133086876,0.8928571428571429,0.7804370447450573,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9067431850789096
baseline,test,0.11,840,1052,749,303,91,0.7119771863117871,0.8916666666666667,0.7917547568710359,25,4,0.8620689655172413,93,21,0.8157894736842105,118,25,0.8251748251748252,0.9053084648493543
baseline,test,0.12,840,1036,747,289,93,0.721042471042471,0.8892857142857142,0.7963752665245203,25,4,0.8620689655172413,92,22,0.8070175438596491,117,26,0.8181818181818182,0.9038737446197992
baseline,test,0.13,840,1015,743,272,97,0.7320197044334975,0.8845238095238095,0.801078167115903,25,4,0.8620689655172413,91,23,0.7982456140350878,116,27,0.8111888111888111,0.8995695839311334
baseline,test,0.14,840,998,742,256,98,0.7434869739478958,0.8833333333333333,0.8073993471164309,25,4,0.8620689655172413,91,23,0.7982456140350878,116,27,0.8111888111888111,0.8981348637015782
baseline,test,0.15,840,983,741,242,99,0.7538148524923703,0.8821428571428571,0.8129456939111356,25,4,0.8620689655172413,90,24,0.7894736842105263,115,28,0.8041958041958042,0.8981348637015782
baseline,test,0.16,840,967,739,228,101,0.7642192347466391,0.8797619047619047,0.8179302711676812,24,5,0.8275862068965517,90,24,0.7894736842105263,114,29,0.7972027972027972,0.896700143472023
baseline,test,0.17,840,958,739,219,101,0.7713987473903967,0.8797619047619047,0.8220244716351502,24,5,0.8275862068965517,90,24,0.7894736842105263,114,29,0.7972027972027972,0.896700143472023
baseline,test,0.18,840,944,738,206,102,0.7817796610169492,0.8785714285714286,0.827354260089686,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.896700143472023
baseline,test,0.19,840,943,738,205,102,0.782608695652174,0.8785714285714286,0.827818283791363,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.896700143472023
baseline,test,0.2,840,933,736,197,104,0.7888531618435155,0.8761904761904762,0.8302312464749013,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8938307030129125
baseline,test,0.21,840,925,736,189,104,0.7956756756756757,0.8761904761904762,0.8339943342776205,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8938307030129125
baseline,test,0.22,840,921,736,185,104,0.7991313789359392,0.8761904761904762,0.8358886996024987,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8938307030129125
baseline,test,0.23,840,914,736,178,104,0.8052516411378556,0.8761904761904762,0.8392246294184721,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8938307030129125
baseline,test,0.24,840,907,733,174,107,0.8081587651598677,0.8726190476190476,0.839152833428735,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8895265423242468
baseline,test,0.25,840,900,731,169,109,0.8122222222222222,0.8702380952380953,0.8402298850574712,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8866571018651362
baseline,test,0.26,840,893,731,162,109,0.8185890257558791,0.8702380952380953,0.8436237738026545,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8866571018651362
baseline,test,0.27,840,885,730,155,110,0.8248587570621468,0.8690476190476191,0.8463768115942029,24,5,0.8275862068965517,89,25,0.7807017543859649,113,30,0.7902097902097902,0.8852223816355811
baseline,test,0.28,840,877,729,148,111,0.8312428734321551,0.8678571428571429,0.8491555037856727,23,6,0.7931034482758621,89,25,0.7807017543859649,112,31,0.7832167832167832,0.8852223816355811
baseline,test,0.29,840,871,725,146,115,0.8323765786452354,0.8630952380952381,0.8474576271186441,23,6,0.7931034482758621,88,26,0.7719298245614035,111,32,0.7762237762237763,0.8809182209469153
baseline,test,0.3,840,862,724,138,116,0.839907192575406,0.861904761904762,0.8507638072855465,22,7,0.7586206896551724,88,26,0.7719298245614035,110,33,0.7692307692307693,0.8809182209469153
baseline,test,0.31,840,859,723,136,117,0.8416763678696159,0.8607142857142858,0.8510888758092997,22,7,0.7586206896551724,87,27,0.7631578947368421,109,34,0.7622377622377622,0.8809182209469153
baseline,test,0.32,840,850,721,129,119,0.8482352941176471,0.8583333333333333,0.8532544378698225,22,7,0.7586206896551724,87,27,0.7631578947368421,109,34,0.7622377622377622,0.8780487804878049
baseline,test,0.33,840,848,721,127,119,0.8502358490566038,0.8583333333333333,0.8542654028436018,22,7,0.7586206896551724,87,27,0.7631578947368421,109,34,0.7622377622377622,0.8780487804878049
baseline,test,0.34,840,843,718,125,122,0.8517200474495848,0.8547619047619047,0.8532382650029708,22,7,0.7586206896551724,86,28,0.7543859649122807,108,35,0.7552447552447552,0.8751793400286944
baseline,test,0.35,840,838,716,122,124,0.8544152744630071,0.8523809523809524,0.8533969010727056,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8751793400286944
baseline,test,0.36,840,837,715,122,125,0.8542413381123058,0.8511904761904762,0.8527131782945737,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8737446197991392
baseline,test,0.37,840,837,715,122,125,0.8542413381123058,0.8511904761904762,0.8527131782945737,21,8,0.7241379310344828,85,29,0.7456140350877193,106,37,0.7412587412587412,0.8737446197991392
