rank,image,gt,predictions,tp,fp,fn,tiny_fn,small_fn,error_score,visual
1,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1181.jpg,15,10,7,3,8,0,5,51,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/001_score51_fn8_fp3_train__image1181.jpg
2,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image774.jpeg,15,9,9,0,6,0,3,33,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/002_score33_fn6_fp0_train__image774.jpg
3,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1368.jpg,6,8,2,6,4,0,1,33,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/003_score33_fn4_fp6_train__image1368.jpg
4,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image784.jpg,23,24,20,4,3,3,0,32,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/004_score32_fn3_fp4_train__image784.jpg
5,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image463.jpg,18,16,13,3,5,0,0,31,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/005_score31_fn5_fp3_train__image463.jpg
6,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image796.jpg,19,27,17,10,2,0,1,31,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/006_score31_fn2_fp10_test__image796.jpg
7,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image908.jpg,9,9,6,3,3,3,0,30,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/007_score30_fn3_fp3_train__image908.jpg
8,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image450.jpg,8,19,7,12,1,0,0,29,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/008_score29_fn1_fp12_test__image450.jpg
9,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image779.jpg,5,0,0,0,5,0,2,27,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/009_score27_fn5_fp0_test__image779.jpg
10,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image469.jpg,11,20,10,10,1,0,0,25,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_1_attention_size_audit_20260805_161600/worst_visuals/010_score25_fn1_fp10_train__image469.jpg
