rank,image,gt,predictions,tp,fp,fn,tiny_fn,small_fn,error_score,visual
1,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1181.jpg,15,5,3,2,12,0,5,69,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/001_score69_fn12_fp2_train__image1181.jpg
2,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image784.jpg,23,19,17,2,6,5,0,49,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/002_score49_fn6_fp2_train__image784.jpg
3,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image463.jpg,18,12,11,1,7,0,2,39,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/003_score39_fn7_fp1_train__image463.jpg
4,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image774.jpeg,15,10,9,1,6,0,3,35,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/004_score35_fn6_fp1_train__image774.jpg
5,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image465.jpg,17,16,13,3,4,3,0,35,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/005_score35_fn4_fp3_train__image465.jpg
6,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image14.jpeg,8,6,3,3,5,0,1,32,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/006_score32_fn5_fp3_train__image14.jpg
7,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1368.jpg,6,7,2,5,4,0,1,31,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/007_score31_fn4_fp5_train__image1368.jpg
8,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image2.jpg,12,9,8,1,4,0,0,22,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/008_score22_fn4_fp1_train__image2.jpg
9,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image468.jpg,10,7,6,1,4,0,0,22,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/009_score22_fn4_fp1_train__image468.jpg
10,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image779.jpg,5,1,1,0,4,0,2,22,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/010_score22_fn4_fp0_test__image779.jpg
11,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image777.jpg,5,1,1,0,4,0,2,22,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/011_score22_fn4_fp0_train__image777.jpg
12,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image450.jpg,8,12,6,6,2,0,0,22,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/012_score22_fn2_fp6_test__image450.jpg
13,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image908.jpg,9,9,7,2,2,2,0,20,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/013_score20_fn2_fp2_train__image908.jpg
14,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image796.jpg,19,25,18,7,1,0,0,19,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/014_score19_fn1_fp7_test__image796.jpg
15,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image469.jpg,11,16,10,6,1,0,1,18,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/015_score18_fn1_fp6_train__image469.jpg
16,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/val__image11.jpeg,7,4,4,0,3,0,2,17,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/016_score17_fn3_fp0_val__image11.jpg
17,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image466.jpg,13,14,11,3,2,0,0,16,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/017_score16_fn2_fp3_train__image466.jpg
18,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image5.jpeg,9,7,7,0,2,2,0,16,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/018_score16_fn2_fp0_train__image5.jpg
19,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1078.jpeg,6,3,3,0,3,0,0,15,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/019_score15_fn3_fp0_train__image1078.jpg
20,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image776.jpg,5,2,2,0,3,0,0,15,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/020_score15_fn3_fp0_train__image776.jpg
21,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image799.jpg,9,6,6,0,3,0,0,15,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/021_score15_fn3_fp0_train__image799.jpg
22,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/val__image771.jpg,5,2,2,0,3,0,0,15,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/022_score15_fn3_fp0_val__image771.jpg
23,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image6.jpeg,6,5,4,1,2,1,0,15,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/023_score15_fn2_fp1_test__image6.jpg
24,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image919.jpeg,6,8,5,3,1,1,0,14,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/024_score14_fn1_fp3_train__image919.jpg
25,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image783.jpeg,5,12,5,7,0,0,0,14,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/025_score14_fn0_fp7_train__image783.jpg
26,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/test__image772.jpg,5,4,3,1,2,0,0,12,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/026_score12_fn2_fp1_test__image772.jpg
27,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image18.jpeg,4,3,2,1,2,0,0,12,/root/autodl-tmp/jetson-ppe-deploy-opt-exp05/results/evaluation/exp05_2_focal_size_audit_20260805_165100/worst_visuals/027_score12_fn2_fp1_train__image18.jpg
