epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8799,1.7017,2.13508,1.82726,0.24472,0.72517,0.45375,0.20745,1.88566,3.07083,2.38992,0.000491935,0.000491935,0.0676962
2,38.8283,1.6695,1.50053,1.75181,0.71177,0.50369,0.59352,0.27401,1.95161,1.80345,2.32768,0.000982115,0.000982115,0.0348531
3,45.6433,1.66327,1.42066,1.7371,0.61216,0.52572,0.53917,0.22186,2.10622,1.8186,2.69521,0.0014624,0.0014624,0.00200003
4,52.3269,1.67907,1.4079,1.75071,0.69872,0.59295,0.63918,0.27004,2.04431,1.75002,2.4139,0.00145545,0.00145545,0.00145545
5,58.9997,1.6135,1.31107,1.69119,0.72297,0.6346,0.70782,0.33091,1.86227,1.48611,2.19812,0.0014406,0.0014406,0.0014406
6,65.6851,1.64597,1.31947,1.72646,0.67126,0.61419,0.66459,0.31714,1.81347,1.42159,2.05356,0.00142575,0.00142575,0.00142575
7,72.5225,1.61843,1.3023,1.69389,0.71839,0.5768,0.65855,0.3037,1.91237,1.56986,2.14959,0.0014109,0.0014109,0.0014109
8,79.2015,1.60219,1.25952,1.68078,0.75312,0.69989,0.76287,0.38305,1.82425,1.27462,2.0629,0.00139605,0.00139605,0.00139605
9,85.9655,1.59279,1.22128,1.65806,0.75143,0.63785,0.72502,0.36746,1.74478,1.35131,1.9859,0.0013812,0.0013812,0.0013812
10,92.6276,1.5756,1.19389,1.6591,0.73858,0.6763,0.72907,0.35635,1.87479,1.33912,2.13937,0.00136635,0.00136635,0.00136635
11,99.1816,1.55253,1.16493,1.63475,0.78551,0.74209,0.79957,0.40706,1.74714,1.13595,2.00184,0.0013515,0.0013515,0.0013515
12,105.815,1.54673,1.1432,1.62625,0.78371,0.70057,0.75963,0.38929,1.73149,1.27643,1.95435,0.00133665,0.00133665,0.00133665
13,112.432,1.5316,1.1155,1.62114,0.81636,0.71979,0.77616,0.40104,1.74103,1.13233,1.96121,0.0013218,0.0013218,0.0013218
14,119.041,1.53242,1.12894,1.62336,0.80836,0.72019,0.7884,0.41951,1.68998,1.13752,1.93692,0.00130695,0.00130695,0.00130695
15,125.77,1.52365,1.0894,1.6005,0.81514,0.72863,0.77956,0.41155,1.73267,1.09991,1.97185,0.0012921,0.0012921,0.0012921
16,132.455,1.48406,1.06882,1.59041,0.79854,0.74402,0.79312,0.41988,1.67856,1.13319,1.91608,0.00127725,0.00127725,0.00127725
17,139.144,1.49997,1.08137,1.60171,0.83375,0.70367,0.80224,0.41627,1.67928,1.03046,1.91436,0.0012624,0.0012624,0.0012624
18,145.741,1.50207,1.07548,1.59113,0.8435,0.71908,0.78591,0.41083,1.75042,1.10141,2.00766,0.00124755,0.00124755,0.00124755
19,152.479,1.45111,1.03085,1.5498,0.79882,0.75589,0.80392,0.43063,1.65532,1.02812,1.87398,0.0012327,0.0012327,0.0012327
20,159.287,1.45938,1.0168,1.56229,0.79945,0.76439,0.80757,0.44365,1.63539,0.98355,1.88684,0.00121785,0.00121785,0.00121785
21,166.09,1.43678,1.00759,1.56216,0.81181,0.71196,0.78429,0.4176,1.70575,1.04066,1.9427,0.001203,0.001203,0.001203
22,172.673,1.45377,1.01583,1.56819,0.83511,0.73889,0.80754,0.43217,1.68788,1.00395,1.91268,0.00118815,0.00118815,0.00118815
23,179.622,1.46038,0.99897,1.56054,0.81969,0.73424,0.79761,0.41537,1.75359,1.01506,1.97142,0.0011733,0.0011733,0.0011733
24,186.404,1.45881,1.01765,1.57927,0.83436,0.698,0.77381,0.41362,1.68368,1.09734,1.89312,0.00115845,0.00115845,0.00115845
25,193.224,1.45509,0.98267,1.54467,0.83669,0.75263,0.81616,0.43484,1.66382,1.0345,1.90621,0.0011436,0.0011436,0.0011436
