epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2791,2.96075,3.18778,3.60128,0.00171,0.21799,0.07117,0.01586,2.74346,4.30893,3.30129,0.000491935,0.000491935,0.0676962
2,49.4291,2.44948,2.22527,3.07642,0.49053,0.35176,0.36313,0.1284,2.36811,2.55974,3.15456,0.000982115,0.000982115,0.0348531
3,57.2922,2.17751,1.96059,2.77825,0.49065,0.46678,0.43693,0.15666,2.35959,2.1579,2.94287,0.0014624,0.0014624,0.00200003
4,65.1651,2.06411,1.88717,2.62761,0.62481,0.57521,0.58731,0.23773,2.08777,1.86694,2.80277,0.00145545,0.00145545,0.00145545
5,72.9142,1.93669,1.74899,2.49318,0.64009,0.59899,0.63431,0.28355,2.07836,1.93554,2.75163,0.0014406,0.0014406,0.0014406
6,80.9562,1.896,1.7112,2.42101,0.63138,0.57874,0.59951,0.24689,2.11343,1.86754,2.70982,0.00142575,0.00142575,0.00142575
7,88.8864,1.85373,1.64814,2.37393,0.75107,0.61626,0.69681,0.32379,1.91267,1.61819,2.58418,0.0014109,0.0014109,0.0014109
8,96.6698,1.82545,1.61028,2.34303,0.77931,0.63069,0.73247,0.33734,1.92286,1.60854,2.55145,0.00139605,0.00139605,0.00139605
9,105.44,1.77524,1.55698,2.2817,0.72333,0.65333,0.68353,0.30462,1.87998,1.58206,2.50417,0.0013812,0.0013812,0.0013812
10,113.348,1.75062,1.52441,2.25437,0.7943,0.60248,0.7175,0.32877,1.92359,1.6282,2.55687,0.00136635,0.00136635,0.00136635
11,121.076,1.71316,1.47888,2.2181,0.77953,0.67954,0.75,0.35723,1.95179,1.45333,2.53555,0.0013515,0.0013515,0.0013515
12,128.815,1.72045,1.44085,2.19645,0.73169,0.70501,0.73284,0.36357,1.80211,1.47232,2.42109,0.00133665,0.00133665,0.00133665
13,136.627,1.67291,1.40477,2.1682,0.74883,0.70349,0.74088,0.36728,1.84465,1.41094,2.45284,0.0013218,0.0013218,0.0013218
14,144.65,1.67914,1.40667,2.16619,0.80266,0.71831,0.76527,0.39836,1.73035,1.32687,2.29878,0.00130695,0.00130695,0.00130695
15,152.424,1.67268,1.39399,2.13536,0.80174,0.68967,0.77612,0.39792,1.76774,1.30177,2.33799,0.0012921,0.0012921,0.0012921
16,160.134,1.6184,1.3406,2.09928,0.80774,0.73173,0.77376,0.37563,1.87653,1.28483,2.43011,0.00127725,0.00127725,0.00127725
17,167.811,1.63995,1.34189,2.12318,0.77599,0.7446,0.77661,0.39492,1.79784,1.26455,2.36942,0.0012624,0.0012624,0.0012624
18,175.784,1.61854,1.31492,2.08176,0.78574,0.7042,0.76527,0.36106,1.84301,1.35689,2.43426,0.00124755,0.00124755,0.00124755
19,183.704,1.60613,1.28733,2.06761,0.82403,0.70453,0.77787,0.3961,1.75239,1.27412,2.29997,0.0012327,0.0012327,0.0012327
20,191.294,1.59202,1.27985,2.06802,0.8131,0.68842,0.78145,0.4212,1.68502,1.23248,2.23712,0.00121785,0.00121785,0.00121785
21,198.896,1.57597,1.24691,2.04907,0.82035,0.72215,0.78338,0.42689,1.64979,1.22482,2.2276,0.001203,0.001203,0.001203
22,206.554,1.56908,1.25292,2.04553,0.77266,0.75539,0.77556,0.386,1.77208,1.27906,2.33436,0.00118815,0.00118815,0.00118815
23,214.522,1.56552,1.23886,2.02768,0.80335,0.7617,0.80495,0.42681,1.67889,1.23117,2.25068,0.0011733,0.0011733,0.0011733
24,222.797,1.57164,1.247,2.03621,0.7718,0.70175,0.7542,0.39179,1.67782,1.37815,2.21331,0.00115845,0.00115845,0.00115845
25,230.652,1.58933,1.221,2.02951,0.80719,0.69896,0.76606,0.39341,1.68841,1.2772,2.23423,0.0011436,0.0011436,0.0011436
26,238.447,1.57251,1.21128,2.02408,0.85765,0.70938,0.80245,0.41546,1.68342,1.13904,2.2249,0.00112875,0.00112875,0.00112875
27,246.327,1.51673,1.1822,1.97447,0.81058,0.72428,0.77118,0.40544,1.71569,1.21441,2.30168,0.0011139,0.0011139,0.0011139
28,253.962,1.53758,1.17819,1.99503,0.80513,0.73252,0.78939,0.42086,1.71346,1.16563,2.27431,0.00109905,0.00109905,0.00109905
29,261.777,1.51779,1.1793,1.96786,0.8474,0.73974,0.81459,0.44195,1.64197,1.11536,2.21572,0.0010842,0.0010842,0.0010842
30,269.85,1.50964,1.17822,1.97516,0.83551,0.74286,0.81262,0.43741,1.69401,1.12264,2.23674,0.00106935,0.00106935,0.00106935
31,277.526,1.50743,1.14416,1.95771,0.86112,0.71146,0.79526,0.42124,1.69995,1.13794,2.2377,0.0010545,0.0010545,0.0010545
32,285.323,1.50198,1.1509,1.95613,0.82443,0.76304,0.80935,0.44511,1.65825,1.07897,2.19327,0.00103965,0.00103965,0.00103965
33,293.038,1.50364,1.14082,1.95034,0.80599,0.76707,0.81318,0.43274,1.72672,1.11964,2.29288,0.0010248,0.0010248,0.0010248
34,300.775,1.47737,1.11292,1.93619,0.79761,0.78336,0.80279,0.42745,1.64549,1.06105,2.19027,0.00100995,0.00100995,0.00100995
35,308.533,1.51673,1.11434,1.95666,0.83151,0.7535,0.80232,0.42404,1.66041,1.07463,2.17709,0.0009951,0.0009951,0.0009951
36,316.385,1.45045,1.07671,1.90837,0.81195,0.78398,0.82174,0.46047,1.59116,1.0208,2.12684,0.00098025,0.00098025,0.00098025
37,324.021,1.45999,1.08036,1.91577,0.82923,0.76681,0.80955,0.44831,1.66863,1.02845,2.18495,0.0009654,0.0009654,0.0009654
38,331.794,1.44,1.04022,1.89613,0.81342,0.77728,0.80671,0.4365,1.69722,1.04979,2.25135,0.00095055,0.00095055,0.00095055
39,339.467,1.45528,1.05056,1.90355,0.83242,0.77194,0.81586,0.444,1.63475,1.00179,2.16174,0.0009357,0.0009357,0.0009357
40,347.245,1.43844,1.03812,1.87903,0.84176,0.75097,0.80606,0.43761,1.63385,1.05703,2.17038,0.00092085,0.00092085,0.00092085
41,354.86,1.42685,1.04016,1.88219,0.82577,0.74682,0.80473,0.45249,1.63427,1.0369,2.16278,0.000906,0.000906,0.000906
42,362.623,1.4121,1.02003,1.86382,0.85196,0.78824,0.83004,0.4513,1.62482,1.00773,2.1461,0.00089115,0.00089115,0.00089115
