epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5105,1.7185,2.12145,1.82771,0.83902,0.1564,0.37209,0.14902,1.86346,3.01902,2.28506,0.000491935,0.000491935,0.0676962
2,36.3295,1.67804,1.50025,1.73756,0.59925,0.46987,0.47025,0.20282,2.07083,2.25926,2.6228,0.000982115,0.000982115,0.0348531
3,43.2297,1.68333,1.41307,1.73945,0.60348,0.48388,0.49312,0.20508,2.13675,1.9196,2.51927,0.0014624,0.0014624,0.00200003
4,50.2239,1.70359,1.39167,1.75731,0.58263,0.60266,0.62809,0.28135,1.99411,1.82837,2.3226,0.00145545,0.00145545,0.00145545
5,57.3226,1.6144,1.30675,1.68585,0.67123,0.57951,0.64411,0.29858,2.02151,1.70513,2.32683,0.0014406,0.0014406,0.0014406
6,64.1915,1.64139,1.32444,1.70605,0.68538,0.59468,0.64015,0.28702,2.04272,1.46763,2.29494,0.00142575,0.00142575,0.00142575
7,71.2017,1.62259,1.28261,1.68557,0.65286,0.54257,0.56773,0.23857,2.17055,1.83612,2.26262,0.0014109,0.0014109,0.0014109
8,77.8698,1.58934,1.24634,1.67201,0.75402,0.66261,0.69233,0.3436,1.7849,1.44161,2.01102,0.00139605,0.00139605,0.00139605
9,84.4209,1.59901,1.22778,1.66173,0.72921,0.6733,0.72548,0.35918,1.84917,1.31864,2.06378,0.0013812,0.0013812,0.0013812
10,91.5927,1.58311,1.21257,1.65916,0.73833,0.66895,0.71655,0.34147,1.91035,1.30978,2.11989,0.00136635,0.00136635,0.00136635
11,98.5958,1.5425,1.16956,1.63236,0.78746,0.73486,0.78225,0.39244,1.76289,1.10602,1.96276,0.0013515,0.0013515,0.0013515
12,105.825,1.55805,1.15502,1.6282,0.72883,0.67157,0.71614,0.35161,1.79287,1.32789,1.98929,0.00133665,0.00133665,0.00133665
13,112.731,1.52045,1.11143,1.60721,0.76968,0.71898,0.75744,0.39757,1.69591,1.2152,1.92878,0.0013218,0.0013218,0.0013218
14,119.646,1.52957,1.11831,1.61714,0.77634,0.73223,0.78179,0.40867,1.74836,1.09104,1.95706,0.00130695,0.00130695,0.00130695
15,126.525,1.51289,1.08935,1.58917,0.80952,0.71987,0.75902,0.39177,1.71253,1.16616,1.9409,0.0012921,0.0012921,0.0012921
16,133.415,1.47583,1.05901,1.58037,0.78072,0.76607,0.7908,0.412,1.66814,1.09021,1.89957,0.00127725,0.00127725,0.00127725
17,140.357,1.50696,1.08569,1.59883,0.79861,0.72598,0.78879,0.40955,1.69853,1.1083,1.90912,0.0012624,0.0012624,0.0012624
18,147.47,1.5018,1.07983,1.58299,0.78149,0.68771,0.7432,0.37038,1.8201,1.11073,2.03504,0.00124755,0.00124755,0.00124755
19,154.317,1.46799,1.01709,1.55938,0.81163,0.74205,0.78402,0.40505,1.73829,1.05627,1.96979,0.0012327,0.0012327,0.0012327
20,161.168,1.462,1.0136,1.56422,0.80254,0.76331,0.8,0.42951,1.69018,0.97948,1.91641,0.00121785,0.00121785,0.00121785
21,168.099,1.45308,1.00355,1.56476,0.79062,0.75611,0.79136,0.42544,1.62816,1.00776,1.85545,0.001203,0.001203,0.001203
22,174.862,1.45814,1.02187,1.57102,0.84133,0.7518,0.79676,0.42219,1.7185,1.00156,1.94517,0.00118815,0.00118815,0.00118815
23,181.746,1.46437,0.99852,1.55674,0.84628,0.74697,0.81415,0.42822,1.69914,1.0142,1.91733,0.0011733,0.0011733,0.0011733
24,188.61,1.46444,1.01304,1.57632,0.83418,0.72789,0.79978,0.43787,1.64593,0.99197,1.83183,0.00115845,0.00115845,0.00115845
25,195.536,1.45145,0.99653,1.53151,0.79858,0.74585,0.79118,0.42685,1.6423,0.99161,1.86447,0.0011436,0.0011436,0.0011436
26,202.425,1.44885,0.98167,1.55255,0.78783,0.76412,0.80673,0.4244,1.65834,1.03999,1.86345,0.00112875,0.00112875,0.00112875
27,209.382,1.41875,0.9674,1.51288,0.84584,0.76288,0.81837,0.45004,1.60117,0.93874,1.80392,0.0011139,0.0011139,0.0011139
28,216.329,1.4108,0.95981,1.53962,0.83793,0.76462,0.81851,0.43685,1.69495,0.96084,1.90107,0.00109905,0.00109905,0.00109905
29,223.215,1.41699,0.96387,1.51187,0.84968,0.76618,0.81196,0.4457,1.63589,0.94019,1.8639,0.0010842,0.0010842,0.0010842
30,230.02,1.41256,0.96116,1.53448,0.83406,0.73835,0.81037,0.44337,1.65249,0.98212,1.85752,0.00106935,0.00106935,0.00106935
31,236.945,1.40127,0.93051,1.49978,0.83716,0.78586,0.83181,0.46333,1.61022,0.92611,1.82684,0.0010545,0.0010545,0.0010545
32,243.964,1.3915,0.93906,1.51105,0.83365,0.79201,0.83556,0.45922,1.59463,0.9079,1.80133,0.00103965,0.00103965,0.00103965
33,250.845,1.39593,0.91817,1.50349,0.82369,0.76723,0.8274,0.45296,1.62324,0.95096,1.83837,0.0010248,0.0010248,0.0010248
34,257.814,1.36803,0.89894,1.49298,0.84149,0.74484,0.82367,0.45668,1.57507,0.92171,1.786,0.00100995,0.00100995,0.00100995
35,264.663,1.4049,0.9069,1.51861,0.81976,0.78942,0.82999,0.45185,1.5974,0.89205,1.8084,0.0009951,0.0009951,0.0009951
36,271.614,1.34181,0.86531,1.4824,0.8373,0.77485,0.82005,0.45287,1.55084,0.88968,1.78464,0.00098025,0.00098025,0.00098025
37,278.384,1.35225,0.8727,1.47075,0.8662,0.7607,0.82436,0.4589,1.55764,0.9001,1.76302,0.0009654,0.0009654,0.0009654
38,285.282,1.34187,0.86017,1.4808,0.81956,0.77446,0.81685,0.45232,1.6646,0.97167,1.90061,0.00095055,0.00095055,0.00095055
39,292.372,1.34735,0.86538,1.47069,0.83408,0.76709,0.82591,0.45595,1.56364,0.92786,1.80065,0.0009357,0.0009357,0.0009357
40,299.232,1.34699,0.86028,1.46225,0.84435,0.74486,0.80629,0.43581,1.64306,0.93743,1.85637,0.00092085,0.00092085,0.00092085
41,306.125,1.3506,0.8719,1.49072,0.83493,0.74196,0.80192,0.42694,1.68113,0.92693,1.89313,0.000906,0.000906,0.000906
42,313.083,1.31294,0.85239,1.45585,0.86177,0.75344,0.81813,0.43981,1.61505,0.90053,1.83477,0.00089115,0.00089115,0.00089115
43,319.954,1.36363,0.86699,1.46813,0.85104,0.75839,0.82087,0.45714,1.59647,0.84987,1.8092,0.0008763,0.0008763,0.0008763
44,326.818,1.3125,0.82779,1.4434,0.8386,0.78894,0.83231,0.46584,1.58193,0.83318,1.79212,0.00086145,0.00086145,0.00086145
45,333.906,1.32181,0.84778,1.45163,0.82902,0.77707,0.82725,0.46038,1.52659,0.8732,1.75826,0.0008466,0.0008466,0.0008466
46,340.748,1.32581,0.85013,1.46516,0.87754,0.77566,0.82923,0.45534,1.58364,0.82791,1.81959,0.00083175,0.00083175,0.00083175
47,347.66,1.29416,0.82161,1.43313,0.82481,0.81112,0.83007,0.46117,1.55043,0.84049,1.76284,0.0008169,0.0008169,0.0008169
48,354.424,1.28444,0.82023,1.43499,0.83716,0.78132,0.82745,0.45896,1.58032,0.85328,1.80338,0.00080205,0.00080205,0.00080205
49,361.326,1.30622,0.81618,1.44314,0.8263,0.76719,0.82161,0.45865,1.57488,0.87309,1.80737,0.0007872,0.0007872,0.0007872
50,368.406,1.29907,0.80777,1.42262,0.81125,0.79418,0.8373,0.4664,1.56502,0.86885,1.77901,0.00077235,0.00077235,0.00077235
51,375.319,1.27848,0.79278,1.41687,0.84567,0.78275,0.83453,0.46004,1.6573,0.86717,1.90327,0.0007575,0.0007575,0.0007575
52,382.212,1.2857,0.79658,1.43644,0.84106,0.79597,0.8298,0.46032,1.59867,0.85507,1.82625,0.00074265,0.00074265,0.00074265
53,389.116,1.26742,0.80217,1.42269,0.82704,0.78049,0.83469,0.46154,1.5519,0.83429,1.794,0.0007278,0.0007278,0.0007278
54,395.92,1.2841,0.79026,1.42379,0.85791,0.77764,0.84528,0.4765,1.55124,0.80943,1.77711,0.00071295,0.00071295,0.00071295
55,402.848,1.28639,0.7899,1.42036,0.80717,0.81579,0.83463,0.45027,1.62836,0.83087,1.85516,0.0006981,0.0006981,0.0006981
56,409.507,1.26381,0.78269,1.40525,0.85106,0.80128,0.84177,0.47428,1.61295,0.82084,1.82896,0.00068325,0.00068325,0.00068325
57,416.169,1.25208,0.78378,1.39668,0.84127,0.78865,0.84341,0.47053,1.58594,0.82425,1.81941,0.0006684,0.0006684,0.0006684
58,422.861,1.26035,0.76949,1.41001,0.83045,0.79645,0.82858,0.46521,1.58628,0.85948,1.80607,0.00065355,0.00065355,0.00065355
59,429.581,1.255,0.76985,1.39863,0.82596,0.79826,0.82458,0.46937,1.5656,0.82861,1.78486,0.0006387,0.0006387,0.0006387
60,436.513,1.25265,0.77061,1.40668,0.84918,0.7956,0.844,0.47083,1.56179,0.81026,1.78769,0.00062385,0.00062385,0.00062385
61,443.358,1.23916,0.76161,1.38455,0.86525,0.76638,0.84189,0.46543,1.56621,0.80018,1.78304,0.000609,0.000609,0.000609
62,450.106,1.25799,0.76279,1.40957,0.81556,0.80796,0.82595,0.46022,1.57382,0.8147,1.80946,0.00059415,0.00059415,0.00059415
63,456.827,1.23374,0.74819,1.39232,0.84586,0.80279,0.83986,0.47149,1.53212,0.80818,1.76013,0.0005793,0.0005793,0.0005793
64,463.655,1.23693,0.74124,1.37799,0.83681,0.80908,0.84436,0.46011,1.58478,0.8194,1.82202,0.00056445,0.00056445,0.00056445
65,470.401,1.21681,0.73994,1.37261,0.84264,0.80856,0.83547,0.46992,1.58571,0.79109,1.81507,0.0005496,0.0005496,0.0005496
66,477.176,1.213,0.73687,1.3864,0.84985,0.81181,0.83989,0.46803,1.5613,0.79084,1.8,0.00053475,0.00053475,0.00053475
67,483.968,1.22567,0.74566,1.36544,0.86446,0.80029,0.84615,0.47393,1.55732,0.79375,1.78912,0.0005199,0.0005199,0.0005199
68,490.737,1.2128,0.73468,1.36619,0.84779,0.80445,0.84039,0.47519,1.54255,0.80179,1.77475,0.00050505,0.00050505,0.00050505
69,497.588,1.16851,0.70959,1.35104,0.82234,0.82207,0.83683,0.46935,1.54232,0.79239,1.78496,0.0004902,0.0004902,0.0004902
70,504.491,1.18593,0.71086,1.3624,0.8494,0.80537,0.84345,0.47527,1.55388,0.78022,1.79452,0.00047535,0.00047535,0.00047535
71,511.557,1.19448,0.72242,1.36514,0.85327,0.81304,0.84142,0.47809,1.53693,0.7769,1.78585,0.0004605,0.0004605,0.0004605
72,518.513,1.16386,0.6988,1.3422,0.84136,0.81992,0.84411,0.46975,1.59337,0.79924,1.82445,0.00044565,0.00044565,0.00044565
73,525.315,1.20054,0.70518,1.35058,0.86765,0.80047,0.84693,0.48084,1.53129,0.77412,1.76235,0.0004308,0.0004308,0.0004308
74,531.947,1.17622,0.6983,1.33564,0.84614,0.81013,0.84313,0.47537,1.56226,0.79159,1.79451,0.00041595,0.00041595,0.00041595
75,538.671,1.16374,0.70822,1.34497,0.86563,0.78846,0.83967,0.47664,1.55625,0.75297,1.80583,0.0004011,0.0004011,0.0004011
76,545.35,1.15738,0.69292,1.33943,0.86647,0.80542,0.84945,0.48305,1.52786,0.75314,1.76403,0.00038625,0.00038625,0.00038625
77,552.105,1.17248,0.70463,1.34562,0.86165,0.80025,0.84516,0.48493,1.51983,0.76482,1.75869,0.0003714,0.0003714,0.0003714
78,558.818,1.15282,0.68798,1.33757,0.86958,0.76377,0.83867,0.4649,1.57649,0.80106,1.8186,0.00035655,0.00035655,0.00035655
79,565.683,1.13887,0.66851,1.32242,0.86938,0.78446,0.84163,0.47009,1.58143,0.79241,1.82867,0.0003417,0.0003417,0.0003417
80,572.54,1.15352,0.69166,1.32598,0.85066,0.81043,0.84401,0.48453,1.51946,0.76641,1.78428,0.00032685,0.00032685,0.00032685
81,579.482,1.12643,0.65427,1.31175,0.86026,0.79539,0.84499,0.48178,1.51661,0.75716,1.75879,0.000312,0.000312,0.000312
82,586.336,1.11782,0.65847,1.30755,0.858,0.77176,0.84016,0.47435,1.56945,0.76185,1.80819,0.00029715,0.00029715,0.00029715
83,593.136,1.13655,0.66223,1.30777,0.83032,0.81672,0.84602,0.47498,1.58472,0.76675,1.83926,0.0002823,0.0002823,0.0002823
84,599.685,1.11431,0.66022,1.31231,0.86347,0.80139,0.84418,0.4846,1.5264,0.76579,1.78998,0.00026745,0.00026745,0.00026745
85,606.215,1.12038,0.65509,1.32364,0.84301,0.81755,0.84653,0.48461,1.53389,0.75557,1.77039,0.0002526,0.0002526,0.0002526
86,613.064,1.12256,0.66131,1.3135,0.87907,0.80225,0.85307,0.48257,1.55696,0.74168,1.8021,0.00023775,0.00023775,0.00023775
87,619.518,1.10849,0.65486,1.29923,0.86637,0.80566,0.84266,0.48689,1.51813,0.74752,1.77009,0.0002229,0.0002229,0.0002229
88,626.185,1.1266,0.65792,1.30978,0.83767,0.80909,0.84164,0.47721,1.55753,0.77597,1.81047,0.00020805,0.00020805,0.00020805
89,632.992,1.12271,0.66268,1.30828,0.8739,0.79412,0.84293,0.47888,1.54342,0.76026,1.78983,0.0001932,0.0001932,0.0001932
90,639.377,1.08869,0.645,1.29953,0.88587,0.7902,0.84872,0.4827,1.54245,0.75147,1.79605,0.00017835,0.00017835,0.00017835
91,647.366,1.05472,0.54522,1.32254,0.88088,0.78968,0.84416,0.48204,1.56012,0.74878,1.83583,0.0001635,0.0001635,0.0001635
92,653.957,1.03696,0.52799,1.32149,0.88697,0.79819,0.85129,0.4811,1.57285,0.76062,1.84481,0.00014865,0.00014865,0.00014865
93,660.344,1.03162,0.52919,1.31708,0.86838,0.80843,0.8568,0.48379,1.56722,0.75462,1.83771,0.0001338,0.0001338,0.0001338
94,666.845,1.02399,0.5211,1.31745,0.86516,0.80906,0.85661,0.48642,1.55109,0.74621,1.82357,0.00011895,0.00011895,0.00011895
95,673.239,1.00594,0.50591,1.28808,0.88457,0.80329,0.85496,0.4796,1.55737,0.75831,1.81847,0.0001041,0.0001041,0.0001041
96,679.662,1.00699,0.50753,1.29537,0.88242,0.80526,0.85986,0.4861,1.54778,0.74383,1.81287,8.925e-05,8.925e-05,8.925e-05
