epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9281,1.58027,0.30621,1.78715,0.62863,0.29807,0.44218,0.19627,1.64868,0.33205,2.17414,0.000491935,0.000491935,0.0676962
2,44.1122,1.47811,0.23419,1.71325,0.42836,0.36781,0.32403,0.12663,1.77447,0.29782,2.34124,0.000982115,0.000982115,0.0348531
3,54.6779,1.48539,0.23322,1.71031,0.47824,0.48545,0.47095,0.20254,1.68437,0.30143,2.17016,0.0014624,0.0014624,0.00200003
4,64.687,1.49471,0.23412,1.73855,0.37316,0.42167,0.35923,0.14695,1.89378,0.35134,2.50708,0.00145545,0.00145545,0.00145545
5,75.8675,1.43121,0.22818,1.69815,0.57696,0.48264,0.54074,0.27245,1.6388,0.26005,2.1696,0.0014406,0.0014406,0.0014406
6,85.9356,1.43105,0.22776,1.70613,0.52153,0.46662,0.48513,0.21636,1.76512,0.27929,2.33172,0.00142575,0.00142575,0.00142575
7,96.1626,1.41992,0.22967,1.69706,0.55594,0.47912,0.4918,0.21866,1.67858,0.27968,2.10208,0.0014109,0.0014109,0.0014109
8,105.973,1.39621,0.22695,1.6664,0.63796,0.51548,0.57163,0.29426,1.55306,0.27598,2.07009,0.00139605,0.00139605,0.00139605
9,116.26,1.38725,0.22669,1.65767,0.59697,0.52645,0.58936,0.29216,1.58532,0.26228,2.07965,0.0013812,0.0013812,0.0013812
10,125.666,1.37233,0.22321,1.64955,0.63902,0.55133,0.60488,0.28275,1.6094,0.28693,2.06054,0.00136635,0.00136635,0.00136635
11,136.709,1.32969,0.22231,1.63104,0.6649,0.5518,0.61545,0.30397,1.56025,0.23812,1.98296,0.0013515,0.0013515,0.0013515
12,146.66,1.33913,0.21945,1.60649,0.72185,0.59099,0.65641,0.33387,1.462,0.24415,1.87654,0.00133665,0.00133665,0.00133665
13,156.101,1.32068,0.21633,1.59924,0.68991,0.60233,0.66038,0.32389,1.53283,0.24324,2.00451,0.0013218,0.0013218,0.0013218
14,165.67,1.32598,0.21637,1.6144,0.73091,0.59595,0.66204,0.3453,1.51741,0.23609,2.01905,0.00130695,0.00130695,0.00130695
15,175.892,1.31467,0.21579,1.58346,0.75501,0.60932,0.69456,0.37092,1.46233,0.22326,1.87943,0.0012921,0.0012921,0.0012921
16,185.984,1.27832,0.21209,1.56569,0.73176,0.62403,0.68747,0.3299,1.54783,0.2387,2.00888,0.00127725,0.00127725,0.00127725
17,196.066,1.29486,0.21427,1.57846,0.70323,0.59128,0.66791,0.34758,1.47627,0.23113,1.86239,0.0012624,0.0012624,0.0012624
18,204.861,1.28926,0.21218,1.56571,0.68867,0.59899,0.67238,0.35857,1.47616,0.23104,1.92307,0.00124755,0.00124755,0.00124755
19,213.264,1.27585,0.21172,1.56015,0.67003,0.62821,0.6835,0.36428,1.40275,0.226,1.83428,0.0012327,0.0012327,0.0012327
20,222.741,1.26455,0.20793,1.55105,0.72642,0.60727,0.69962,0.37052,1.44219,0.22951,1.83739,0.00121785,0.00121785,0.00121785
21,232.911,1.25443,0.20796,1.54058,0.77561,0.63717,0.72796,0.38106,1.41222,0.21711,1.79908,0.001203,0.001203,0.001203
22,242.919,1.26917,0.21026,1.56443,0.78374,0.65658,0.74392,0.39933,1.39203,0.21619,1.79838,0.00118815,0.00118815,0.00118815
23,252.343,1.27414,0.20931,1.56028,0.74908,0.61768,0.70589,0.37855,1.42,0.22449,1.88087,0.0011733,0.0011733,0.0011733
24,262.646,1.2619,0.21044,1.55746,0.74128,0.60726,0.67901,0.35529,1.47572,0.21935,1.82463,0.00115845,0.00115845,0.00115845
25,272.168,1.26389,0.20385,1.52291,0.73828,0.64578,0.716,0.39217,1.40946,0.21691,1.83036,0.0011436,0.0011436,0.0011436
26,281.978,1.24865,0.20615,1.53086,0.7778,0.63356,0.72262,0.37422,1.43706,0.21992,1.81385,0.00112875,0.00112875,0.00112875
27,291.782,1.22946,0.20232,1.50286,0.75901,0.62562,0.71105,0.38473,1.44007,0.2232,1.88578,0.0011139,0.0011139,0.0011139
28,301.72,1.22555,0.2037,1.5266,0.76629,0.68843,0.74628,0.41197,1.36928,0.21589,1.75244,0.00109905,0.00109905,0.00109905
